{'ID': 0, 'name': 'Avalanche', 'symbol': 'AVAX', 'date': '2020-07-13', 'time_high': '2020-07-13 19:35:20', 'time_low': '2020-07-13 11:06:30', 'open': 4.6139677044, 'high': 4.9151149646, 'low': 4.4814986656, 'close': 4.8962944035, 'volume': 28339.9968219597, 'market_cap': 0.0}
{'ID': 0, 'name': 'Avalanche', 'symbol': 'AVAX', 'date': '2020-07-14', 'time_high': '2020-07-14 11:25:28', 'time_low': '2020-07-14 04:31:30', 'open': 4.9098648792, 'high': 5.2295636579, 'low': 4.7620678596, 'close': 4.9867539093, 'volume': 3956.6401542227, 'market_cap': 0.0}
{'ID': 0, 'name': 'Avalanche', 'symbol': 'AVAX', 'date': '2020-09-22', 'time_high': '2020-09-22 05:43:16', 'time_low': '2020-09-22 03:29:17', 'open': 4.9867539093, 'high': 11.4634431991, 'low': 4.1253797552, 'close': 5.2346319752, 'volume': 288098840.167973, 'market_cap': 128248483.39289}
{'ID': 0, 'name': 'Avalanche', 'symbol': 'AVAX', 'date': '2020-09-23', 'time_high': '2020-09-23 00:06:35', 'time_low': '2020-09-23 07:37:28', 'open': 5.32165397, 'high': 5.32930962, 'low': 3.98260404, 'close': 4.11846862, 'volume': 173091214.36622873, 'market_cap': 100902481.23141676}
{'ID': 0, 'name': 'Avalanche', 'symbol': 'AVAX', 'date': '2020-09-24', 'time_high': '2020-09-24 23:07:28', 'time_low': '2020-09-24 05:11:30', 'open': 3.81792536, 'high': 4.7518783, 'low': 3.53988692, 'close': 4.56656107, 'volume': 96110963.558701, 'market_cap': 111880746.31788824}
{'ID': 0, 'name': 'Avalanche', 'symbol': 'AVAX', 'date': '2020-09-25', 'time_high': '2020-09-25 21:47:29', 'time_low': '2020-09-25 11:17:28', 'open': 4.61402804, 'high': 4.95867258, 'low': 4.24079849, 'close': 4.71227917, 'volume': 55854396.7835979, 'market_cap': 115450839.62972882}
{'ID': 0, 'name': 'Avalanche', 'symbol': 'AVAX', 'date': '2020-09-26', 'time_high': '2020-09-26 06:11:29', 'time_low': '2020-09-26 13:11:29', 'open': 4.71373648, 'high': 4.81775221, 'low': 4.37677358, 'close': 4.53924857, 'volume': 27304545.98194968, 'market_cap': 111211589.9854727}
{'ID': 0, 'name': 'Avalanche', 'symbol': 'AVAX', 'date': '2020-09-27', 'time_high': '2020-09-27 01:11:32', 'time_low': '2020-09-27 13:06:32', 'open': 4.53528875, 'high': 4.69547225, 'low': 4.13801226, 'close': 4.62553553, 'volume': 23243191.65922584, 'market_cap': 113325620.5743547}
{'ID': 0, 'name': 'Avalanche', 'symbol': 'AVAX', 'date': '2020-09-28', 'time_high': '2020-09-28 00:05:30', 'time_low': '2020-09-28 23:57:36', 'open': 4.63600884, 'high': 4.64236705, 'low': 4.20480313, 'close': 4.20480313, 'volume': 20624309.65058083, 'market_cap': 103017676.79266354}
{'ID': 0, 'name': 'Avalanche', 'symbol': 'AVAX', 'date': '2020-09-29', 'time_high': '2020-09-29 01:21:59', 'time_low': '2020-09-29 16:26:28', 'open': 4.20590558, 'high': 4.28064063, 'low': 3.97066231, 'close': 4.14295087, 'volume': 16706916.81340713, 'market_cap': 101502296.41373207}
{'ID': 0, 'name': 'Avalanche', 'symbol': 'AVAX', 'date': '2020-09-30', 'time_high': '2020-09-30 22:21:29', 'time_low': '2020-09-30 09:12:30', 'open': 4.14329318, 'high': 4.39227781, 'low': 4.01505614, 'close': 4.32254623, 'volume': 16932875.58377851, 'market_cap': 105902382.5965933}
{'ID': 0, 'name': 'Avalanche', 'symbol': 'AVAX', 'date': '2020-10-01', 'time_high': '2020-10-01 11:25:53', 'time_low': '2020-10-01 17:45:39', 'open': 4.32427861, 'high': 4.49329163, 'low': 4.05929393, 'close': 4.15109018, 'volume': 23903200.93087806, 'market_cap': 101701709.44411846}
{'ID': 0, 'name': 'Avalanche', 'symbol': 'AVAX', 'date': '2020-10-02', 'time_high': '2020-10-02 04:37:50', 'time_low': '2020-10-02 10:31:29', 'open': 4.14960395, 'high': 4.20649217, 'low': 3.69385177, 'close': 3.92715641, 'volume': 30467406.06939681, 'market_cap': 96215332.06195498}
{'ID': 0, 'name': 'Avalanche', 'symbol': 'AVAX', 'date': '2020-10-03', 'time_high': '2020-10-03 16:56:30', 'time_low': '2020-10-03 00:11:31', 'open': 3.92574773, 'high': 4.1661555, 'low': 3.88023862, 'close': 4.02165954, 'volume': 11967393.6589558, 'market_cap': 98530658.7075215}
{'ID': 0, 'name': 'Avalanche', 'symbol': 'AVAX', 'date': '2020-10-04', 'time_high': '2020-10-04 00:56:29', 'time_low': '2020-10-04 12:37:54', 'open': 4.02298282, 'high': 4.06501609, 'low': 3.85581733, 'close': 3.96110965, 'volume': 12949575.32853165, 'market_cap': 97047186.38243811}
